vol -f analyse-memoire.dmp windows.pstree

Volatility 3 Framework 2.11.0
Progress:  100.00		PDB scanning finished                                
PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xa50a1f85d080	178	-	N/A	False	2025-04-01 22:10:38.000000 UTC	N/A	-	-	-
* 452	4	smss.exe	0xa50a20adc040	2	-	N/A	False	2025-04-01 22:10:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 124	4	Registry	0xa50a1f8e1080	4	-	N/A	False	2025-04-01 22:10:34.000000 UTC	N/A	Registry	-	-
* 1868	4	MemCompression	0xa50a270f1040	58	-	N/A	False	2025-04-01 22:10:45.000000 UTC	N/A	MemCompression	-	-
556	544	csrss.exe	0xa50a20adf080	11	-	0	False	2025-04-01 22:10:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
656	544	wininit.exe	0xa50a26073080	1	-	0	False	2025-04-01 22:10:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 800	656	services.exe	0xa50a20ade080	5	-	0	False	2025-04-01 22:10:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 7424	800	svchost.exe	0xa50a29e48080	1	-	0	False	2025-04-01 22:13:56.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Appinfo	C:\Windows\system32\svchost.exe
** 2564	800	spoolsv.exe	0xa50a27421200	7	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe
** 2948	800	svchost.exe	0xa50a2753a300	8	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc	C:\Windows\system32\svchost.exe
** 648	800	svchost.exe	0xa50a26207240	3	-	0	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM	C:\Windows\system32\svchost.exe
*** 664	648	csrss.exe	0xa50a26076140	13	-	1	False	2025-04-01 22:10:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
*** 752	648	winlogon.exe	0xa50a260a6080	3	-	1	False	2025-04-01 22:10:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\winlogon.exe	winlogon.exe	C:\Windows\system32\winlogon.exe
**** 968	752	fontdrvhost.ex	0xa50a26167140	5	-	1	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
**** 1136	752	LogonUI.exe	0xa50a262cb080	0	-	1	False	2025-04-01 22:10:44.000000 UTC	2025-04-01 22:11:31.000000 UTC	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	-	-
**** 1144	752	dwm.exe	0xa50a262cd080	21	-	1	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dwm.exe	"dwm.exe"	C:\Windows\system32\dwm.exe
**** 4824	752	userinit.exe	0xa50a27d91080	0	-	1	False	2025-04-01 22:10:52.000000 UTC	2025-04-01 22:11:20.000000 UTC	\Device\HarddiskVolume3\Windows\System32\userinit.exe	-	-
***** 5036	4824	explorer.exe	0xa50a27f20080	48	-	1	False	2025-04-01 22:10:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\explorer.exe	C:\Windows\Explorer.EXE	C:\Windows\Explorer.EXE
****** 5408	5036	msedge.exe	0xa50a20ee3340	28	-	1	False	2025-04-01 22:13:41.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --profile-directory=Default	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 7232	5408	msedge.exe	0xa50a276f20c0	14	-	1	False	2025-04-01 22:13:42.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --lang=fr --service-sandbox-type=none --mojo-platform-channel-handle=2352 /prefetch:3	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 4732	5408	msedge.exe	0xa50a29b230c0	16	-	1	False	2025-04-01 22:13:42.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=renderer --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --lang=fr --disable-client-side-phishing-detection --instant-process --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3840 /prefetch:1	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
